fen,eval
rn2k2r/p4q1p/5p1p/2ppp3/b3PPBP/1p4PN/2NP3R/R1BK4 w kq - 0 20,-4.4600
rn2k2r/p4q1p/5p1p/2ppp3/b3PPBP/Bp4PN/2NP3R/R2K4 b kq - 1 20,-5.0100
rn2k2r/p6p/4qp1p/2ppp3/b3PPBP/Bp4PN/2NP3R/R2K4 w kq - 2 21,2.7900
rn2k2r/p6p/4qp1p/2pppP2/b3P1BP/Bp4PN/2NP3R/R2K4 b kq - 0 21,-5.5100
rn2k1qr/p6p/5p1p/2pppP2/b3P1BP/Bp4PN/2NP3R/R2K4 w kq - 1 22,-4.9200
rn2k1qr/p6p/5p1p/2pppP2/b3P1BP/Bp4PN/2NP3R/R3K3 b kq - 2 22,-6.5200
r3k1qr/p6p/2n2p1p/2pppP2/b3P1BP/Bp4PN/2NP3R/R3K3 w kq - 3 23,-4.0700
r3k1qr/p6p/2n2p1p/2pppP2/b3P1BP/Bp2N1PN/3P3R/R3K3 b kq - 4 23,-3.4000
r1bqkbnr/ppppppp1/2n5/7p/5B2/3P1N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,-0.1600
r1bqkbnr/ppppppp1/8/4n2p/5B2/3P1N2/PPP1PPPP/RN1QKB1R w KQkq - 4 4,5.1000
r1bqkbnr/ppppppp1/8/4n2p/5B2/3P1N2/PPPNPPPP/R2QKB1R b KQkq - 5 4,-0.0500
r1bqkbnr/pp1pppp1/8/2p1n2p/5B2/3P1N2/PPPNPPPP/R2QKB1R w KQkq - 0 5,4.4700
r1bqkbnr/pp1pppp1/8/2p1n2p/4PB2/3P1N2/PPPN1PPP/R2QKB1R b KQkq - 0 5,0.7100
r1bqkbnr/pp2ppp1/8/2ppn2p/4PB2/3P1N2/PPPN1PPP/R2QKB1R w KQkq - 0 6,5.0600
r1bqkbnr/pp2ppp1/8/2ppn2p/4PB2/3P1N2/PPPN1PPP/R2QKBR1 b Qkq - 1 6,-0.7400
